File listing Pass #1: Code -> Intermediate Representation

0000 | #1 | commandNum: 0002; isFinal: 1; labelLinePos: -001; | 02 00 00 00                                       | in
0001 | #1 | commandNum: 0000; isFinal: 1; labelLinePos: -001; |                                                   | 
0002 | #1 | commandNum: 0010; isFinal: 1; labelLinePos: -001; | 0a 01 00 00                                       | jmp main
0003 | #1 | commandNum: 0000; isFinal: 1; labelLinePos: -001; |                                                   | 
0004 | #1 | commandNum: 0019; isFinal: 1; labelLinePos: 0004; |                                                   | fib:
0005 | #1 | commandNum: 0000; isFinal: 1; labelLinePos: -001; |                                                   | 
0006 | #1 | commandNum: 0009; isFinal: 1; labelLinePos: -001; | 09 02 00 00 64 00 00 00                           | pop bx
0007 | #1 | commandNum: 0004; isFinal: 1; labelLinePos: -001; | 04 02 00 00 64 00 00 00                           | push bx
0008 | #1 | commandNum: 0004; isFinal: 1; labelLinePos: -001; | 04 02 00 00 64 00 00 00                           | push bx
0009 | #1 | commandNum: 0004; isFinal: 1; labelLinePos: -001; | 04 01 00 00 00 00 00 00                           | push 0
0010 | #1 | commandNum: 0011; isFinal: 1; labelLinePos: -001; | 0b 01 00 00                                       | ja checkRet1
0011 | #1 | commandNum: 0009; isFinal: 1; labelLinePos: -001; | 09 02 00 00 64 00 00 00                           | pop bx
0012 | #1 | commandNum: 0004; isFinal: 1; labelLinePos: -001; | 04 01 00 00 00 00 00 00                           | push 0
0013 | #1 | commandNum: 0021; isFinal: 1; labelLinePos: -001; | 15 00 00 00                                       | ret
0014 | #1 | commandNum: 0000; isFinal: 1; labelLinePos: -001; |                                                   | 
0015 | #1 | commandNum: 0019; isFinal: 1; labelLinePos: 0015; |                                                   | checkRet1:
0016 | #1 | commandNum: 0009; isFinal: 1; labelLinePos: -001; | 09 02 00 00 64 00 00 00                           | pop bx
0017 | #1 | commandNum: 0004; isFinal: 1; labelLinePos: -001; | 04 02 00 00 64 00 00 00                           | push bx
0018 | #1 | commandNum: 0004; isFinal: 1; labelLinePos: -001; | 04 02 00 00 64 00 00 00                           | push bx
0019 | #1 | commandNum: 0004; isFinal: 1; labelLinePos: -001; | 04 01 00 00 64 00 00 00                           | push 1
0020 | #1 | commandNum: 0016; isFinal: 1; labelLinePos: -001; | 10 01 00 00                                       | jne prev
0021 | #1 | commandNum: 0019; isFinal: 1; labelLinePos: 0021; |                                                   | ret1:
0022 | #1 | commandNum: 0009; isFinal: 1; labelLinePos: -001; | 09 02 00 00 64 00 00 00                           | pop bx
0023 | #1 | commandNum: 0004; isFinal: 1; labelLinePos: -001; | 04 01 00 00 64 00 00 00                           | push 1
0024 | #1 | commandNum: 0021; isFinal: 1; labelLinePos: -001; | 15 00 00 00                                       | ret
0025 | #1 | commandNum: 0000; isFinal: 1; labelLinePos: -001; |                                                   | 
0026 | #1 | commandNum: 0019; isFinal: 1; labelLinePos: 0026; |                                                   | prev:
0027 | #1 | commandNum: 0000; isFinal: 1; labelLinePos: -001; |                                                   | 
0028 | #1 | commandNum: 0009; isFinal: 1; labelLinePos: -001; | 09 02 00 00 64 00 00 00                           | pop bx
0029 | #1 | commandNum: 0004; isFinal: 1; labelLinePos: -001; | 04 02 00 00 64 00 00 00                           | push bx
0030 | #1 | commandNum: 0004; isFinal: 1; labelLinePos: -001; | 04 02 00 00 64 00 00 00                           | push bx
0031 | #1 | commandNum: 0004; isFinal: 1; labelLinePos: -001; | 04 01 00 00 9c ff ff ff                           | push -1
0032 | #1 | commandNum: 0005; isFinal: 1; labelLinePos: -001; | 05 00 00 00                                       | add
0033 | #1 | commandNum: 0020; isFinal: 1; labelLinePos: 0004; | 14 01 00 00                                       | call fib
0034 | #1 | commandNum: 0000; isFinal: 1; labelLinePos: -001; |                                                   | 
0035 | #1 | commandNum: 0009; isFinal: 1; labelLinePos: -001; | 09 02 00 00 c8 00 00 00                           | pop cx
